PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10,Practical Assignment Average,Q1,Q2,Q3,Q4,Q5,Q6,Quiz Average,Assignment Average,PT1,PT2,Practical Test Average,Practical Average
1658592,70,84,55,49,93,0,90,95,22,69.75,15,13,4,5,5,12,67,69.6,100,80,90,77.7575
1658963,100,88,65,26,22,55,73,72,81,70,9,9,0,0,2,10,40,68.5,75,50,62.5,66.1
1659880,100,0,25,0,46,80,91,75,31,56,0,8,4,0,0,6,24,54.4,0,50,25,42.64
1660590,100,58,85,78,70,67,100,0,0,69.75,12,10,5,11,6,10,65,69.53,65,75,70,69.7175
1661139,90,45,100,47,0,0,0,0,0,35.25,0,12,0,0,0,0,16,34.29,100,0,50,40.5725
1661331,100,41,75,0,41,34,79,60,0,53.75,12,3,7,9,5,10,57,53.93,55,80,67.5,59.3575
1661373,100,100,100,92,85,80,100,85,68,92.75,15,13,5,13,4,11,76,91.91,90,100,95,93.1475
1662166,50,0,0,0,0,0,3,0,0,6.625,0,0,9,0,11,5,33,7.96,0,0,0,4.77625
1662240,100,60,85,40,70,67,100,0,28,68.75,0,7,2,15,8,10,56,68.11,70,15,42.5,57.8675
1662364,50,0,0,0,0,0,0,0,0,6.25,12,10,2,6,0,0,40,7.938,50,0,25,14.7625
1662676,100,100,100,100,88,81,83,71,76,91,15,9,2,11,8,10,71,89.98,75,100,87.5,88.99
1662879,100,91,95,25,84,50,75,75,100,83.75,15,9,4,7,9,7,63,82.7,60,40,50,69.6175
1662904,100,30,90,61,0,0,70,85,100,67,9,15,2,8,6,7,60,66.65,65,80,72.5,68.99
1663196,0,83,100,0,0,0,0,0,0,22.875,0,5,2,0,0,0,9.3,22.2,0,0,0,13.31875
1663601,100,90,100,98,83,100,100,82,98,96.125,9,12,4,13,9,13,75,95.05,75,60,67.5,84.03125
1663700,100,95,70,100,87,90,86,92,0,90,12,12,10,10,14,9,77,89.37,80,75,77.5,84.62
1664262,100,41,50,22,22,45,30,75,10,48.125,15,5,7,10,4,6,57,48.59,25,0,12.5,34.15125
1664731,100,96,100,83,90,88,87,60,20,88,9,7,2,8,5,9,51,86.13,45,20,32.5,64.68
