CSC Averages
PeopleSoft Number,Prac Assignment Average,Quiz Average,Prac Test Average,Practical Average
1706378,68.25,68.04,37.5,55.8225
1706860,79.125,78.04,80,78.82125
1707088,85.875,85.11,100,91.06875
1707176,59.125,58.7,69,62.82125
1707225,98.5,96.64,100,97.985
1707452,62.75,62.61,75,67.5675
1707717,38.75,39.21,40,39.5275
1707795,94.5,93.31,80,87.985
1708176,24.375,24.16,0,14.49375
1708177,81.5,79.83,77.5,78.895
1708293,49.125,48.6,0,29.16125
1708424,84.625,84.19,100,90.51625
1708471,27.625,28.58,44,34.74625
1708639,100,99.07,100,99.44
1708838,48.875,49.16,45,47.49875
1708941,13.75,13.86,0,8.3175
1708962,96.625,95.79,100,97.47625
1709419,68.75,69.38,100,81.6275
1709525,67.375,66.61,35,53.96375
1709767,0,0,0,0
1709872,62.125,60.82,42.5,53.49125
1709978,58,58.17,25,44.9
1710034,80.625,79.73,100,87.83625
1710106,77.25,76.52,70,73.9125
1710513,81.875,79.65,35,61.78875
1710537,69.125,68.67,100,81.20125
1710816,72.875,73.5,87.5,79.09875
1710884,75.875,74.75,57.5,67.84875
1711127,47.875,47.75,30,40.64875
1711129,78,77.37,75,76.42
1711305,92.375,90.36,100,94.21375
1711381,73.75,72.06,47.5,62.2375
1711465,91.5,90.06,65,80.035
1711482,96.5,96.08,100,97.645
1711656,46.625,46.96,80,60.17625
1712350,44.25,44.57,94,64.3425
1712382,79.25,77.89,100,86.7325
1713382,61.875,62.38,77.5,68.42875
1713480,71,69.05,32.5,54.43
1713628,81.25,80.52,37.5,63.3125
1713644,77.375,76.71,65,72.02375
1713666,0,0.6,0,0.36
1713992,81.875,80.98,80,80.58875
1714017,55.25,55.35,47.5,52.2125
1714202,95.875,94.35,87.5,91.60875
1714236,69.125,67.67,16.5,47.20125
1714332,0,0,0,0
1714694,39.125,39.7,17.5,30.82125
1714733,89.875,89.05,87.5,88.42875
1714854,99.25,98.22,100,98.9325
1714968,70.75,70.41,66,68.6475
1715004,93.625,91.68,11,59.40625
1715299,93.25,93.05,87.5,90.8325
1715600,0,0.8,0,0.48
1715830,59.875,59.68,100,75.80875
1716523,98.5,97.24,100,98.345
1716564,23,25.45,37.5,30.27
1717740,73,73.15,85,77.89
1717881,75.375,74.14,82.5,77.48375
1717987,43.375,44.41,52.5,47.64375
1718677,18.75,19.68,30,23.8075
1718684,95.5,93.46,87.5,91.075
1718916,93.5,91.96,90,91.175
1719944,26,24.7,0,14.82
1719949,69.625,69.21,90,77.52625
1720199,83.75,81.5,55,70.8975
1720627,88.5,86.81,95,90.085
