CSC Quizes
PeopleSoft Number,Q1,Q2,Q3,Q4,Q5,Q6
1691731,12,13,10,15,14,12
1691786,12,12,7,7,6,11
1691787,15,15,13,13,9,12
1691788,9,7,4,1,0,7
1691800,12,10,4,10,7,10
1691824,15,10,7,15,11,13
1692009,12,13,6,6,6,0
1692085,0,9,10,3,7,9
1692088,15,15,10,13,12,10
1692166,12,12,11,13,7,12
1692194,9,5,4,7,3,9
1692420,12,9,7,4,7,9
1692765,0,12,3,0,0,0
1692772,12,7,0,7,4,8
1692773,15,9,8,5,8,9
1692776,12,5,2,4,4,0
1692871,12,9,2,3,4,7
1692937,12,7,10,5,0,10
1692943,9,13,13,12,6,8
1692966,15,12,7,9,4,12
1693145,12,9,2,11,12,8
1693296,12,10,0,9,2,11
1693309,12,5,5,6,9,9
1693533,12,5,7,8,5,9
1693663,15,15,7,9,9,10
1693713,9,9,10,6,8,8
1693763,15,12,10,12,4,9
1693905,15,15,7,10,10,8
1693907,15,10,10,12,6,11
1694180,15,4,2,8,6,6
1694489,15,15,15,11,13,11
1694522,15,9,12,15,10,12
1694590,9,9,5,15,5,6
1695288,15,10,5,4,4,10
1695331,15,13,5,4,10,9
1695599,15,12,4,13,7,9
1695677,9,12,7,8,8,6
1695932,0,12,0,4,0,0
1695982,15,8,2,9,5,8
1696007,9,5,4,10,0,0
1696082,9,12,6,8,2,8
1696083,12,7,5,2,0,0
1696093,12,15,0,2,0,0
1696222,15,12,11,12,9,9
1696259,9,8,4,9,4,10
1696395,15,15,13,12,13,12
1696474,15,13,4,15,10,11
1696534,15,7,10,9,4,9
1696583,12,7,4,7,7,8
1696800,12,10,4,7,3,10
1696950,12,9,0,5,5,8
1696996,12,12,13,11,6,11
1696998,12,10,4,6,0,0
1697030,12,7,5,10,5,7
1697070,9,12,5,3,5,8
1697304,15,15,11,15,13,12
1697355,12,9,6,0,7,7
1697467,15,12,7,11,14,12
1697486,12,7,0,6,10,9
1697510,12,4,2,13,9,9
1697511,12,12,4,2,7,3
1697521,9,9,4,13,12,11
1697545,12,10,11,0,0,0
1697559,9,7,5,4,8,6
1697567,0,9,7,5,5,9
1697586,12,12,0,0,0,0
1697612,9,0,0,0,5,0
1697829,15,15,7,9,9,8
1697836,12,15,15,11,12,10
1698119,3,7,2,4,5,8
