CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
1688027,100,100,100,100,98,90,100,83,50
1688058,100,100,100,98,92,92,100,95,100
1688096,80,100,100,96,94,92,96,0,85
1688167,100,100,100,100,91,96,100,0,75
1688180,100,90,100,100,91,100,100,0,20
1688204,100,60,75,46,83,10,96,80,10
1688210,70,0,45,58,68,40,100,69,0
1688225,100,90,75,76,64,50,61,90,0
1688270,100,100,100,96,87,85,96,0,21
1688277,100,83,70,43,24,75,81,58,0
1688280,100,100,100,100,88,100,96,83,0
1688362,100,100,100,55,70,100,0,0,0
1688586,100,100,65,0,63,48,33,77,39
1688612,100,50,75,100,95,50,100,60,100
1688654,100,100,100,95,100,71,73,0,99
1688726,100,100,100,92,94,92,100,85,72
1688861,100,100,100,96,88,73,100,85,85
1688914,100,100,100,37,77,50,100,0,35
1688927,100,80,0,34,76,0,90,0,0
1689042,100,88,85,9,25,50,4,47,0
1689116,100,100,100,100,96,100,96,0,84
1689150,100,92,90,68,70,67,100,65,0
1689344,100,100,100,96,91,100,83,0,50
1689526,70,0,15,0,0,0,0,0,0
1689571,100,100,100,72,63,86,100,88,72
1689614,100,100,100,100,100,100,100,93,93
1689679,100,100,80,59,84,77,100,98,0
1689762,100,71,25,34,62,18,9,70,95
1689828,100,80,100,84,89,81,96,83,37
1689848,100,90,100,90,94,67,70,63,92
1689935,100,100,100,100,98,100,100,90,90
1689939,100,60,100,98,98,100,100,58,90
1690024,100,48,54,9,42,18,100,70,0
1690113,100,100,90,94,97,96,100,95,28
1690303,100,100,85,69,50,45,100,0,79
1690367,100,100,100,100,99,100,100,85,100
1690411,100,100,95,65,25,24,91,86,0
1690459,0,0,0,0,0,0,0,0,0
1690470,100,100,100,96,96,81,56,65,63
1690569,100,96,90,82,24,100,73,0,59
1690594,100,100,100,94,0,0,0,0,37
1690786,100,96,75,87,31,85,100,89,0
1690805,70,40,80,39,78,40,61,0,29
1690837,100,80,75,51,68,40,100,81,0
1691017,100,100,100,96,96,100,100,74,98
1691158,100,0,0,0,0,0,0,0,0
1691402,100,99,100,96,96,92,83,58,96
1691441,100,100,100,100,90,100,100,72,0
1691561,100,100,95,50,85,96,72,82,14
1691567,100,76,100,84,95,96,61,75,0
1691731,100,100,100,98,89,100,96,93,50
1691786,100,100,100,98,97,92,100,93,89
1691787,100,100,100,98,85,96,100,86,0
1691788,0,0,0,0,0,0,0,0,0
1691800,100,31,55,26,43,47,100,80,0
1691824,100,100,100,96,71,87,62,0,0
1692009,100,100,70,18,85,90,0,0,0
1692085,100,100,100,92,81,91,100,0,100
1692088,100,100,100,100,92,100,100,0,92
1692166,100,100,100,99,96,100,100,0,5
1692194,100,40,75,100,95,90,96,69,0
1692420,75,46,90,87,78,45,24,75,49
1692765,0,43,0,0,0,18,0,0,0
1692772,100,88,85,26,63,82,66,20,0
1692773,100,100,100,100,97,100,56,0,0
1692776,100,96,60,19,28,0,24,0,0
1692871,90,47,65,96,88,96,61,45,0
1692937,100,100,100,90,97,91,100,80,88
1692943,100,100,100,68,90,100,100,63,0
1692966,100,100,100,96,94,100,100,0,100
1693145,95,80,75,49,66,54,100,75,37
1693296,80,51,40,17,0,0,0,48,0
1693309,100,73,85,84,92,87,86,68,0
1693533,100,75,50,39,40,24,96,0,20
1693663,100,96,70,76,98,96,29,0,35
1693713,100,96,90,92,87,40,0,68,0
1693763,100,100,100,98,70,100,100,75,0
1693905,100,100,100,100,92,100,100,0,65
1693907,100,100,100,98,98,100,100,85,38
1694180,100,91,95,42,88,96,59,87,98
1694489,100,100,100,100,96,100,100,75,100
1694522,100,87,100,100,91,100,79,85,69
1694590,100,85,90,67,82,18,25,41,61
1695288,100,31,90,71,34,44,100,72,0
